Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
1,1,1,0,0,0,0,0,0,0.2,0,0.25,3,5,3
2,1,0,0,0,0,0,0,1,0,0,0.1,3,10,4
3,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,4
4,1,0,0,0,0,0,0,1,0,0,0.1,3,5,2
5,1,1,0,0,0,1,1,1,0.2,0,0.1,5,5,5
6,1,1,1,1,1,1,1,1,0,30,0.25,3,5,5
7,1,0,0,0,0,0,0,0,0.2,30,0.1,3,5,1
8,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,4
9,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
10,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
11,1,1,0,1,1,1,1,1,0.2,30,0.25,3,10,4
12,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
13,1,1,1,1,1,1,1,1,0.2,0,0.25,5,5,4
14,1,1,1,0,1,1,1,1,0.2,0,0.1,5,10,4
15,1,1,1,0,1,0,0,1,0,0,0.25,5,10,4
16,1,0,0,0,0,0,0,0,0.2,0,0.25,5,5,1
17,1,1,0,0,1,1,0,1,0.2,30,0.1,5,10,3
18,1,1,1,1,1,1,1,1,0,30,0.1,5,5,4
19,1,1,1,1,1,1,1,1,0,30,0.25,5,5,4
20,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,3
21,1,1,1,0,0,0,0,1,0.2,30,0.25,5,10,2
22,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
23,1,1,1,0,1,1,1,1,0,0,0.25,3,10,5
24,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
25,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
26,1,1,1,0,1,1,1,1,0,0,0.25,3,10,4
27,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,5
28,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
29,0,1,1,1,1,1,1,0,0.2,30,0.25,3,10,0
30,0,1,1,1,1,1,1,0,0,30,0.25,3,5,0
31,0,1,0,0,0,0,0,0,0,30,0.25,5,10,0
32,1,1,0,1,1,0,1,0,0,30,0.25,3,10,2
33,1,1,0,0,0,0,0,0,0.2,30,0.25,3,5,1
34,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,2
35,1,1,0,0,1,1,1,1,0,30,0.25,5,5,2
36,1,1,0,1,1,1,1,1,0,0,0.1,5,5,5
37,1,1,1,1,1,1,1,1,0,0,0.25,3,10,4
38,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
39,1,1,1,0,0,0,0,1,0,30,0.1,5,10,3
40,0,1,0,0,1,0,0,0,0.2,30,0.25,3,5,0
41,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
42,1,1,0,0,1,1,1,1,0,0,0.1,3,10,4
43,1,1,0,0,0,0,0,1,0.2,0,0.25,3,10,4
44,1,1,1,1,1,1,1,1,0.2,0,0.1,5,5,5
45,1,1,1,1,1,1,1,1,0.2,30,0.25,5,10,4
46,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
47,1,0,0,0,0,0,0,0,0,0,0.25,3,5,1
48,1,1,1,0,1,1,1,1,0,30,0.1,3,5,4
49,1,1,0,0,0,0,0,1,0.2,0,0.1,3,10,4
50,1,0,0,0,0,0,1,0,0,0,0.1,5,10,1
51,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
52,1,1,0,0,0,0,1,0,0.2,30,0.1,5,5,1
53,1,1,0,0,0,1,1,1,0.2,30,0.1,5,10,5
54,1,0,0,0,0,0,0,0,0.2,30,0.1,3,5,1
55,1,1,1,1,1,1,1,1,0,0,0.25,5,10,5
56,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
57,1,1,1,1,1,1,1,1,0,30,0.1,3,5,3
58,1,1,1,1,1,1,1,1,0.2,0,0.25,5,5,4
59,1,1,0,1,1,1,1,1,0.2,30,0.1,3,5,4
60,1,1,0,0,0,0,1,1,0.2,30,0.1,3,5,5
61,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
62,1,1,1,1,1,1,1,1,0.2,0,0.1,3,10,5
63,1,1,1,1,1,1,1,1,0,30,0.25,5,10,4
64,1,0,0,0,0,0,1,0,0,0,0.1,3,10,1
65,1,1,0,0,0,0,1,0,0,30,0.1,3,5,2
