Graph,True,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize,Expert,Decision
1,1,0,0,0.2,0,0.25,3,5,3,A,1
1,1,0,0,0.2,0,0.25,3,5,3,B,0
1,1,0,0,0.2,0,0.25,3,5,3,C,0
1,1,0,0,0.2,0,0.25,3,5,3,D,0
1,1,0,0,0.2,0,0.25,3,5,3,E,0
2,1,0,1,0,0,0.1,3,10,4,A,0
2,1,0,1,0,0,0.1,3,10,4,B,0
2,1,0,1,0,0,0.1,3,10,4,C,0
2,1,0,1,0,0,0.1,3,10,4,D,0
2,1,0,1,0,0,0.1,3,10,4,E,0
3,1,1,1,0.2,0,0.25,5,10,4,A,1
3,1,1,1,0.2,0,0.25,5,10,4,B,1
3,1,1,1,0.2,0,0.25,5,10,4,C,1
3,1,1,1,0.2,0,0.25,5,10,4,D,1
3,1,1,1,0.2,0,0.25,5,10,4,E,1
4,1,0,1,0,0,0.1,3,5,2,A,0
4,1,0,1,0,0,0.1,3,5,2,B,0
4,1,0,1,0,0,0.1,3,5,2,C,0
4,1,0,1,0,0,0.1,3,5,2,D,0
4,1,0,1,0,0,0.1,3,5,2,E,0
5,1,1,1,0.2,0,0.1,5,5,5,A,1
5,1,1,1,0.2,0,0.1,5,5,5,B,0
5,1,1,1,0.2,0,0.1,5,5,5,C,0
5,1,1,1,0.2,0,0.1,5,5,5,D,0
5,1,1,1,0.2,0,0.1,5,5,5,E,1
6,1,1,1,0,30,0.25,3,5,5,A,1
6,1,1,1,0,30,0.25,3,5,5,B,1
6,1,1,1,0,30,0.25,3,5,5,C,1
6,1,1,1,0,30,0.25,3,5,5,D,1
6,1,1,1,0,30,0.25,3,5,5,E,1
7,1,0,0,0.2,30,0.1,3,5,1,A,0
7,1,0,0,0.2,30,0.1,3,5,1,B,0
7,1,0,0,0.2,30,0.1,3,5,1,C,0
7,1,0,0,0.2,30,0.1,3,5,1,D,0
7,1,0,0,0.2,30,0.1,3,5,1,E,0
8,1,1,1,0.2,30,0.1,5,10,4,A,1
8,1,1,1,0.2,30,0.1,5,10,4,B,1
8,1,1,1,0.2,30,0.1,5,10,4,C,1
8,1,1,1,0.2,30,0.1,5,10,4,D,1
8,1,1,1,0.2,30,0.1,5,10,4,E,1
9,0,0,0,0,0,0.25,5,10,0,A,0
9,0,0,0,0,0,0.25,5,10,0,B,0
9,0,0,0,0,0,0.25,5,10,0,C,0
9,0,0,0,0,0,0.25,5,10,0,D,0
9,0,0,0,0,0,0.25,5,10,0,E,0
10,0,0,0,0,0,0.1,3,5,0,A,0
10,0,0,0,0,0,0.1,3,5,0,B,0
10,0,0,0,0,0,0.1,3,5,0,C,0
10,0,0,0,0,0,0.1,3,5,0,D,0
10,0,0,0,0,0,0.1,3,5,0,E,0
11,1,1,1,0.2,30,0.25,3,10,4,A,1
11,1,1,1,0.2,30,0.25,3,10,4,B,0
11,1,1,1,0.2,30,0.25,3,10,4,C,1
11,1,1,1,0.2,30,0.25,3,10,4,D,1
11,1,1,1,0.2,30,0.25,3,10,4,E,1
12,0,0,0,0.2,0,0.1,5,10,0,A,0
12,0,0,0,0.2,0,0.1,5,10,0,B,0
12,0,0,0,0.2,0,0.1,5,10,0,C,0
12,0,0,0,0.2,0,0.1,5,10,0,D,0
12,0,0,0,0.2,0,0.1,5,10,0,E,0
13,1,1,1,0.2,0,0.25,5,5,4,A,1
13,1,1,1,0.2,0,0.25,5,5,4,B,1
13,1,1,1,0.2,0,0.25,5,5,4,C,1
13,1,1,1,0.2,0,0.25,5,5,4,D,1
13,1,1,1,0.2,0,0.25,5,5,4,E,1
14,1,1,1,0.2,0,0.1,5,10,4,A,1
14,1,1,1,0.2,0,0.1,5,10,4,B,1
14,1,1,1,0.2,0,0.1,5,10,4,C,0
